Timestamp,Fx,Fy,Fz,Tx,Ty,Tz,Temperature
6262564926,0.008914677,0.07796044,-5.0053406,3.4053679,-1.8838426,-0.14413646,23.603485
6262575127,0.009678087,0.07696331,-5.005236,3.4318357,-1.8570534,-0.1430271,23.603485
6262585130,0.010313422,0.07607699,-5.0056195,3.461794,-1.8307819,-0.1401079,23.599962
6262594999,0.011191119,0.07502969,-5.005857,3.4918847,-1.8020961,-0.1374947,23.599962
6262605175,0.012343175,0.073870555,-5.005182,3.5195746,-1.7619159,-0.13288188,23.599962
6262615096,0.013516903,0.07274581,-5.005725,3.5503948,-1.7233148,-0.13057722,23.599962
6262625196,0.014550163,0.071589135,-5.0061626,3.5830822,-1.6929494,-0.12833774,23.599962
6262635246,0.015413961,0.07082101,-5.0053954,3.6041424,-1.6681349,-0.12495889,23.599962
6262645270,0.015511754,0.07083087,-5.0056586,3.611985,-1.6725748,-0.12267013,23.599962
6262655296,0.014863854,0.071382836,-5.0061574,3.603301,-1.7056992,-0.12524308,23.599962
6262665355,0.014224882,0.07146269,-5.006521,3.597253,-1.7195334,-0.12851918,23.599962
6262675431,0.01384495,0.07138265,-5.0060887,3.6083767,-1.7246952,-0.12730502,23.599962
6262685499,0.01281795,0.071978465,-5.0054383,3.6031287,-1.7667557,-0.12773438,23.598694
6262695495,0.011284852,0.07296058,-5.005802,3.576539,-1.8154979,-0.13279846,23.598694
6262705480,0.010733111,0.07283773,-5.0059056,3.5717075,-1.821724,-0.1363641,23.598694
6262715502,0.010450779,0.07277906,-5.005487,3.5864475,-1.830372,-0.13568284,23.598694
6262725571,0.009164809,0.07373067,-5.0054207,3.5725696,-1.8803463,-0.1378839,23.598694
6262735593,0.008197456,0.07464211,-5.0059943,3.5411327,-1.9054025,-0.14326584,23.598694
6262745619,0.008918926,0.07473857,-5.0069275,3.5267208,-1.8711622,-0.14377153,23.598694
6262755669,0.00952645,0.07486018,-5.006588,3.525723,-1.852226,-0.14121938,23.598694
6262765696,0.00915115,0.075714074,-5.0057635,3.5026584,-1.8782487,-0.14255823,23.598694
6262775789,0.009225862,0.076292485,-5.006339,3.4701467,-1.8706839,-0.1456086,23.598694
6262785867,0.010518155,0.07585579,-5.007332,3.4705217,-1.8206205,-0.14380054,23.599245
6262795897,0.011012397,0.07589374,-5.007428,3.4786568,-1.8196051,-0.14119883,23.599245
6262806045,0.010196066,0.07642749,-5.0071683,3.4635253,-1.856987,-0.1428114,23.599245
6262815992,0.010784145,0.075571984,-5.006857,3.4646637,-1.8248371,-0.14359045,23.599245
6262826009,0.012764143,0.073737785,-5.008034,3.5160935,-1.751581,-0.13820012,23.599245
6262836082,0.012834783,0.07332624,-5.008128,3.55528,-1.7712845,-0.13376096,23.599245
6262845995,0.011055293,0.07366629,-5.0066,3.5494936,-1.8362488,-0.13861312,23.599245
6262856071,0.011246445,0.072225586,-5.006672,3.570502,-1.8044233,-0.14029692,23.599245
6262866177,0.013067311,0.07064588,-5.007731,3.632341,-1.7394239,-0.13210362,23.599245
6262876213,0.013049815,0.071077496,-5.007953,3.6404812,-1.7694427,-0.12923777,23.599245
6262886330,0.01190616,0.072058335,-5.0073543,3.5943217,-1.8090129,-0.13476467,23.595404
6262896227,0.012649813,0.07136066,-5.007087,3.592943,-1.7566648,-0.13405855,23.595404
6262906275,0.01385318,0.07105112,-5.008629,3.6257515,-1.723361,-0.12934487,23.595404
6262916451,0.01234543,0.07305354,-5.009067,3.5892205,-1.7969283,-0.131107,23.595404
6262926388,0.010349523,0.075136155,-5.007867,3.505397,-1.8582324,-0.13995606,23.595404
6262936401,0.010678514,0.07508769,-5.0084734,3.4841256,-1.818533,-0.14252707,23.595404
6262946508,0.011715974,0.07450641,-5.009452,3.5147662,-1.7843772,-0.13742173,23.595404
6262956474,0.010960745,0.07556962,-5.0090313,3.4995415,-1.8307364,-0.13758597,23.595404
6262966555,0.009902937,0.076291144,-5.0083337,3.4578893,-1.858096,-0.14298883,23.595404
6262976614,0.010473351,0.07511918,-5.008329,3.4767911,-1.8157028,-0.14201674,23.595404
6262986708,0.011075286,0.07443449,-5.009554,3.525244,-1.802518,-0.1385581,23.593586
6262996630,0.010226719,0.07513351,-5.0092545,3.5176733,-1.8473805,-0.13886893,23.593586
6263006659,0.00988429,0.075144716,-5.0080495,3.4892678,-1.8473955,-0.14144953,23.593586
6263016705,0.011327426,0.0738411,-5.008631,3.522981,-1.78599,-0.13954215,23.593586
6263026762,0.012359081,0.07307782,-5.0092564,3.572284,-1.7669411,-0.13356398,23.593586
6263037137,0.011847201,0.07344589,-5.0084634,3.5672553,-1.798948,-0.13399279,23.593586
6263046840,0.011814285,0.073339105,-5.007913,3.5522323,-1.7865924,-0.13716537,23.593586
6263056873,0.013101931,0.07214413,-5.008307,3.5844128,-1.7366016,-0.13404799,23.593586
6263066904,0.013431006,0.0717983,-5.009516,3.6159556,-1.7389873,-0.13127168,23.593586
6263077185,0.012680316,0.07249683,-5.009438,3.5982177,-1.7761712,-0.13415949,23.593586
6263087070,0.012703382,0.07247279,-5.0084357,3.5820966,-1.7659124,-0.13637336,23.591076
6263097049,0.013114103,0.071992904,-5.009193,3.6012013,-1.7450356,-0.1341025,23.591076
6263107095,0.012205708,0.07291621,-5.0097046,3.6011639,-1.7890166,-0.1348321,23.591076
6263117267,0.010345747,0.07442158,-5.0088315,3.5506184,-1.8535931,-0.13929217,23.591076
6263127272,0.009516268,0.0749298,-5.0083904,3.5182705,-1.863521,-0.14471997,23.591076
6263137221,0.009739236,0.074557774,-5.0085964,3.5306187,-1.8504122,-0.14289162,23.591076
6263147500,0.009750837,0.075165495,-5.0097,3.524665,-1.8639376,-0.14282443,23.591076
6263157298,0.009442946,0.07617164,-5.009525,3.4810772,-1.8718038,-0.14660512,23.591076
6263167320,0.009981496,0.07614105,-5.0086775,3.4592843,-1.8442538,-0.1469858,23.591076
6263177486,0.010783839,0.075769246,-5.009686,3.4798987,-1.8187953,-0.14388646,23.591076
6263187576,0.010846324,0.07578095,-5.0100226,3.488562,-1.8236812,-0.14239347,23.590534
6263197521,0.01096549,0.075888686,-5.009605,3.4757147,-1.8207375,-0.14379647,23.590534
6263207544,0.011729922,0.075168505,-5.009496,3.4873052,-1.7913334,-0.14321984,23.590534
6263217579,0.01241053,0.0742857,-5.009895,3.5233243,-1.7693356,-0.14055216,23.590534
6263227654,0.01264821,0.07408536,-5.010363,3.536666,-1.7715936,-0.13832687,23.590534
6263237623,0.012690353,0.07393066,-5.0101123,3.5356548,-1.770229,-0.13853268,23.590534
